kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk,rainfall_intensity,is_rainy_season,elevation_slope_ratio,vegetation_moisture,population_density_proxy,extreme_rainfall
bogor,babakanmadang,64.775,124.032,28.76,207.8025,Tree cover,0.564,0.6970000000000001,39.583,2020,1,1,-6.5917,106.902,121972.0,1.8857012542759406,1,122.45285798467884,22.324811999999998,584.1500939883382,1
bogor,bojonggede,68.241,128.949,32.89,133.589,Built-up,0.429,0.293,40.414,2020,1,1,-6.4774,106.7927,266481.0,1.8623214569402524,1,103.3170920340294,17.337606,1979.961215255333,1
bogor,caringin,56.423,92.324,29.93,207.8025,Tree cover,0.513,0.6970000000000001,39.662,2020,1,0,-6.7366,106.866,138901.0,1.6077878202114135,1,122.45285798467884,20.346606,665.2267094503178,0
bogor,cariu,60.034,98.129,30.02,143.845,Tree cover,0.652,0.6970000000000001,39.014,2020,1,0,-6.5273,107.1371,54478.0,1.6077759937084248,1,84.76428992339422,25.437128,376.1123960095274,1
bogor,ciampea,66.38,133.877,30.27,207.8025,Tree cover,0.569,0.6970000000000001,39.658,2020,1,0,-6.5742,106.698,175400.0,1.986895221133868,1,122.45285798467884,22.565402,840.0282563666623,1
bogor,ciawi,60.033,102.824,30.31,207.8025,Tree cover,0.465,0.6970000000000001,39.604,2020,1,0,-6.7091,106.8937,117903.0,1.6847279340684547,1,122.45285798467884,18.415860000000002,564.6627794207444,1
bogor,cibinong,64.197,120.134,32.59,134.037,Built-up,0.429,0.322,40.343,2020,1,1,-6.4839,106.8354,365387.0,1.8426307958955166,1,101.38956127080182,17.307147,2705.828772854847,1
bogor,cibungbulang,62.757,125.628,30.1,207.8025,Tree cover,0.516,0.6970000000000001,39.658,2020,1,0,-6.5761,106.661,152898.0,1.970418934391518,1,122.45285798467884,20.463528,732.2613474455526,1
bogor,cigombong,53.486,84.206,27.78,207.8025,Tree cover,0.576,0.6970000000000001,39.674,2020,1,0,-6.7461,106.8128,101474.0,1.5454612193958082,1,122.45285798467884,22.852224,485.98077130302556,0
bogor,cigudeg,61.41,109.292,28.26,207.8025,Tree cover,0.489,0.6970000000000001,40.253,2020,1,1,-6.4937,106.5461,142405.0,1.7511937189552957,1,122.45285798467884,19.683716999999998,682.008117718897,1
bogor,cijeruk,58.342,100.324,28.41,207.8025,Tree cover,0.568,0.6970000000000001,39.583,2020,1,1,-6.686,106.7843,96355.0,1.690606989990226,1,122.45285798467884,22.483143999999996,461.46478131248426,1
bogor,cileungsi,64.843,99.566,28.16,69.866,Tree cover,0.502,0.251,39.17,2020,1,1,-6.4094,106.9962,273150.0,1.5121728961317071,1,55.84812150279777,19.66334,3854.4577089154177,1
bogor,ciomas,62.066,119.463,29.31,207.8025,Built-up,0.419,0.6970000000000001,39.591,2020,1,0,-6.6095,106.762,161632.0,1.89425363904481,1,122.45285798467884,16.588629,774.0903485350989,1
bogor,cisarua,63.041,110.997,28.23,207.8025,Tree cover,0.41,0.6970000000000001,39.596,2020,1,1,-6.6985,106.9552,81870.0,1.733217782358177,1,122.45285798467884,16.23436,392.0930065492511,1
bogor,ciseeng,67.344,120.53,28.55,99.044,Tree cover,0.588,0.396,40.875,2020,1,0,-6.4556,106.6785,121142.0,1.7635783682547117,1,70.9484240687679,24.034499999999998,1210.887209627764,1
bogor,citeureup,63.408,118.419,29.78,207.8025,Tree cover,0.563,0.6970000000000001,39.829,2020,1,0,-6.525,106.8924,221710.0,1.8385759532977268,1,122.45285798467884,22.423727,1061.8167885920905,1
bogor,dramaga,67.843,134.064,30.86,207.8025,Tree cover,0.541,0.6970000000000001,39.654,2020,1,0,-6.5888,106.7298,113555.0,1.9473875339540692,1,122.45285798467884,21.452814000000004,543.8392739550532,1
bogor,gunungputri,61.733,98.643,36.48,81.462,Built-up,0.354,0.389,40.561,2020,1,1,-6.4052,106.9313,294195.0,1.5724259958873321,1,58.64794816414687,14.358594,3567.6432781159806,1
bogor,gunungsindur,64.373,108.875,29.44,72.997,Tree cover,0.418,0.372,40.893,2020,1,0,-6.3871,106.6872,121333.0,1.6654429198598808,1,53.20481049562682,17.093274,1639.7016095247104,1
bogor,jasinga,60.105,99.303,29.26,163.412,Tree cover,0.528,0.6970000000000001,38.958,2020,1,1,-6.4806,106.4559,112356.0,1.6251206938875706,1,96.29463759575722,20.569824,683.3807751259031,1
bogor,jonggol,63.913,105.244,30.33,186.743,Tree cover,0.616,0.6970000000000001,38.119,2020,1,0,-6.4961,107.0456,147880.0,1.621308520635312,1,110.04301708898055,23.481303999999998,787.6725097606835,1
bogor,klapanunggal,60.879,103.79,31.14,203.856,Tree cover,0.561,0.6970000000000001,40.161,2020,1,0,-6.483,106.9553,129835.0,1.677305709529889,1,120.12728344136711,22.530321000000004,633.7866598976842,1
bogor,kemang,73.8,143.693,30.94,143.048,Tree cover,0.59,0.625,40.298,2020,1,0,-6.5025,106.7345,110256.0,1.9210294117647062,1,88.02953846153846,23.77582,765.41152949017,1
bogor,leuwiliang,56.389,108.67,27.77,207.8025,Tree cover,0.497,0.6970000000000001,39.658,2020,1,0,-6.6402,106.6099,133441.0,1.8935684538848907,1,122.45285798467884,19.710026,639.0775972509907,1
bogor,leuwisadeng,60.978,118.724,29.3,207.8025,Tree cover,0.575,0.6970000000000001,39.658,2020,1,0,-6.5736,106.5877,82804.0,1.9155829487882796,1,122.45285798467884,22.80335,396.5661330683301,1
bogor,megamendung,62.553,112.791,30.14,207.8025,Tree cover,0.479,0.6970000000000001,39.583,2020,1,0,-6.6635,106.9177,113756.0,1.7747549289569335,1,122.45285798467884,18.960257,544.801906107446,1
bogor,nanggung,53.716,106.36,24.89,207.8025,Tree cover,0.428,0.6970000000000001,39.633,2020,1,0,-6.6725,106.5377,100914.0,1.9438555449959791,1,122.45285798467884,16.962924,483.29881107745354,1
bogor,pamijahan,51.12,94.199,27.53,207.8025,Tree cover,0.475,0.6970000000000001,39.655,2020,1,0,-6.6933,106.6596,166309.0,1.8073484267075979,1,122.45285798467884,18.836125,796.4895056333138,0
bogor,parung,69.557,127.561,29.44,104.116,Tree cover,0.47,0.338,40.893,2020,1,0,-6.4349,106.7128,128905.0,1.8079141686863105,1,77.81464872944693,19.21971,1226.3118840138513,1
bogor,parungpanjang,63.059,103.887,29.91,65.388,Tree cover,0.436,0.569,40.893,2020,1,1,-6.3768,106.5551,125437.0,1.6217393340514215,1,41.67495219885278,17.829348,1889.45291317708,1
bogor,rancabungur,74.872,147.858,30.18,144.929,Tree cover,0.654,0.575,39.778,2020,1,0,-6.5217,106.7137,63856.0,1.9487821594264023,1,92.0184126984127,26.014812,437.58266006071443,1
bogor,rumpin,62.989,112.146,27.0,152.23,Tree cover,0.514,0.6970000000000001,40.54,2020,1,1,-6.4596,106.6311,156896.0,1.7525824751129102,1,89.70536240424278,20.83756,1023.9248188996934,1
bogor,sukajaya,56.527,110.594,25.13,207.8025,Tree cover,0.382,0.6970000000000001,39.551,2020,1,1,-6.6313,106.4705,71814.0,1.9224711874424183,1,122.45285798467884,15.108482,343.9326636414794,1
bogor,sukamakmur,63.401,115.803,28.36,207.8025,Tree cover,0.588,0.6970000000000001,39.61,2020,1,0,-6.5936,107.0201,16748.0,1.7981553081473887,1,122.45285798467884,23.29068,80.20976760335724,1
bogor,sukaraja,63.274,121.17,29.54,207.8025,Tree cover,0.523,0.6970000000000001,39.583,2020,1,1,-6.5792,106.8408,202415.0,1.8852101938575474,1,122.45285798467884,20.701909,969.4088911770692,1
bogor,tajurhalang,69.737,131.96,31.37,128.261,Tree cover,0.532,0.34,40.637,2020,1,0,-6.469,106.7596,126087.0,1.865501788314461,1,95.71716417910447,21.618884,975.4450298233807,1
bogor,tamansari,57.57,108.486,28.63,207.8025,Tree cover,0.486,0.6970000000000001,39.625,2020,1,0,-6.6564,106.7458,126736.0,1.8522451767116273,1,122.45285798467884,19.257749999999998,606.9659127644544,1
bogor,tanjungsari,60.344,106.261,29.1,207.8025,Tree cover,0.659,0.6970000000000001,39.625,2020,1,0,-6.6115,107.1406,33887.0,1.7322150495565987,1,122.45285798467884,26.112875000000003,162.29211814992635,1
bogor,tenjo,61.851,104.41,28.99,60.385,Tree cover,0.497,0.368,39.091,2020,1,0,-6.3723,106.4794,78576.0,1.661230529347186,1,44.14108187134503,19.428227,1280.0521299991856,1
bogor,tenjolaya,56.293,105.871,28.58,207.8025,Tree cover,0.503,0.6970000000000001,39.658,2020,1,0,-6.6537,106.708,68536.0,1.8478871764438936,1,122.45285798467884,19.947974000000002,328.23361789250606,1
kota bogor,bogorbarat,66.278,124.853,30.54,207.8025,Built-up,0.354,0.658,39.594,2020,1,0,-6.5732,106.7655,254629.0,1.855777520140313,1,125.33323281061521,14.016276,1219.472946923528,1
kota bogor,bogorselatan,59.53,107.933,30.87,207.8025,Tree cover,0.472,0.6970000000000001,39.583,2020,1,0,-6.6447,106.8135,219309.0,1.7831323310754998,1,122.45285798467884,18.683176,1050.3178841249505,1
kota bogor,bogortengah,63.374,117.577,30.23,207.8025,Built-up,0.256,0.6970000000000001,39.583,2020,1,0,-6.5932,106.7986,109057.0,1.8264672072575885,1,122.45285798467884,10.133248,522.2973862860837,1
kota bogor,bogortimur,60.215,111.507,35.22,207.8025,Built-up,0.358,0.6970000000000001,39.583,2020,1,0,-6.6207,106.8264,108919.0,1.8215633423180593,1,122.45285798467884,14.170713999999998,521.6364746590677,1
kota bogor,bogorutara,61.007,113.567,25.22,207.8025,Built-up,0.405,0.6970000000000001,39.583,2020,1,0,-6.5708,106.8196,204454.0,1.831519022045898,1,122.45285798467884,16.031115,979.1740999269645,1
kota bogor,tanahsareal,68.492,131.751,29.29,184.459,Built-up,0.369,0.639,39.583,2020,1,0,-6.5468,106.7855,231040.0,1.895916076670696,1,112.54362416107382,14.606126999999999,1245.7739985657206,1
kota tangerang,batuceper,69.069,125.868,39.23,10.341,Built-up,0.211,0.068,37.386,2020,1,0,-6.1618,106.6703,95474.0,1.796343604161612,1,9.68258426966292,7.888446,8418.481615377834,1
kota tangerang,benda,68.23,122.586,39.23,8.372,Built-up,0.252,0.098,37.386,2020,1,0,-6.13,106.6657,85769.0,1.7707063411815687,1,7.624772313296903,9.421272,9151.621852326078,1
kota tangerang,cibodas,63.479,116.679,39.23,19.751,Built-up,0.138,0.128,37.386,2020,1,0,-6.2058,106.608,158036.0,1.8095659051784303,1,17.509751773049643,5.159268000000001,7615.82574333767,1
kota tangerang,ciledug,64.651,106.967,39.23,21.279,Built-up,0.24,0.132,37.445,2020,1,0,-6.2386,106.7059,150190.0,1.6293278091727468,1,18.79770318021201,8.9868,6741.325912294089,1
kota tangerang,cipondoh,68.831,124.504,39.23,11.897,Built-up,0.23,0.115,37.386,2020,1,1,-6.1862,106.683,231127.0,1.7829330812962725,1,10.669955156950673,8.598780000000001,17920.989377374583,1
kota tangerang,jatiuwung,64.4,119.888,39.23,20.101,Built-up,0.159,0.172,37.386,2020,1,0,-6.198,106.5753,107510.0,1.833149847094801,1,17.151023890784984,5.944374000000001,5095.019193403156,1
kota tangerang,karangtengah,65.308,108.912,39.23,13.076,Built-up,0.241,0.156,37.386,2020,1,1,-6.2101,106.7097,117440.0,1.642516740061531,1,11.311418685121108,9.010026,8343.279340721796,1
kota tangerang,karawaci,68.189,122.945,39.23,16.788,Built-up,0.181,0.102,37.386,2020,1,0,-6.1812,106.618,193480.0,1.7769443119571031,1,15.234119782214155,6.766866,10876.995727456711,1
kota tangerang,larangan,65.388,108.435,39.23,21.351,Built-up,0.213,0.155,37.389,2020,1,0,-6.2392,106.733,163375.0,1.6333524130867023,1,18.485714285714284,7.963857000000001,7309.516352735895,1
kota tangerang,neglasari,68.355,124.341,39.23,11.542,Built-up,0.29,0.072,37.386,2020,1,0,-6.1429,106.6302,124907.0,1.7928195515824379,1,10.766791044776118,10.84194,9959.097432626375,1
kota tangerang,periuk,65.916,121.45,39.23,12.531,Built-up,0.222,0.129,37.386,2020,1,0,-6.1675,106.5943,144640.0,1.8149620419630583,1,11.099202834366697,8.299692,10689.527751090089,1
kota tangerang,pinang,63.445,106.659,39.23,19.041,Built-up,0.285,0.132,37.386,2020,1,0,-6.2153,106.6662,186671.0,1.6550391806967184,1,16.82067137809187,10.65501,9314.455366498678,1
kota tangerang,tangerang,66.82,121.068,39.23,17.193,Built-up,0.194,0.112,37.386,2020,1,0,-6.1888,106.6406,165575.0,1.7851371276909467,1,15.461330935251798,7.252884000000001,9101.027867861265,1
tangerang selatan,ciputat,60.294,91.189,36.2,44.431,Built-up,0.325,0.212,40.842,2020,1,1,-6.3082,106.7277,224048.0,1.487731262440043,1,36.65924092409241,13.27365,4931.610574277476,0
tangerang selatan,ciputattimur,62.359,97.429,36.2,41.355,Built-up,0.256,0.245,40.639,2020,1,1,-6.2988,106.7556,170001.0,1.5377294464874762,1,33.21686746987951,10.403584,4013.7173887380477,1
tangerang selatan,pamulang,61.733,94.636,36.2,59.039,Built-up,0.314,0.233,40.786,2020,1,1,-6.3395,106.7391,326296.0,1.508552117705195,1,47.882400648824,12.806804,5434.734089508486,0
tangerang selatan,pondokaren,58.452,91.943,36.2,28.61,Built-up,0.269,0.18,40.541,2020,1,1,-6.2664,106.7114,297400.0,1.546508107380744,1,24.24576271186441,10.905529,10043.904086457278,0
tangerang selatan,serpong,61.381,93.971,36.2,42.596,Built-up,0.34,0.214,40.893,2020,1,0,-6.3113,106.6807,165000.0,1.506404193584585,1,35.08731466227347,13.903620000000002,3784.7508945774844,0
tangerang selatan,serpongutara,60.591,98.214,36.2,26.59,Built-up,0.254,0.18,39.116,2020,1,0,-6.2536,106.663,139215.0,1.5946160965076066,1,22.533898305084747,9.935464,5045.849945632475,1
tangerang selatan,setu,62.823,98.634,36.2,54.164,Tree cover,0.365,0.359,40.893,2020,1,0,-6.3637,107.0373,165907.0,1.545430330758504,1,39.85577630610744,14.925945,3007.523022260895,1
tangerang,balaraja,67.503,137.503,27.07,20.277,Built-up,0.262,0.173,37.613,2020,1,0,-6.2048,106.4427,124129.0,2.007255156708465,1,17.286445012787723,9.854606,5833.952154909057,1
tangerang,cikupa,65.828,131.398,27.07,25.2,Built-up,0.222,0.147,37.463,2020,1,0,-6.218,106.5159,209140.0,1.9662117675225952,1,21.97035745422842,8.316786,7982.442748091603,1
tangerang,cisauk,61.139,99.798,27.07,51.37,Tree cover,0.365,0.313,40.893,2020,1,0,-6.3391,106.6302,91438.0,1.6060445131077101,1,39.12414318354912,14.925945,1745.999618101967,1
tangerang,cisoka,63.767,124.587,27.07,26.713,Tree cover,0.33,0.26,38.246,2020,1,1,-6.2598,106.4167,97591.0,1.9236185094260967,1,21.200793650793653,12.62118,3521.488110273157,1
tangerang,curug,62.064,115.058,27.07,30.753,Built-up,0.187,0.142,38.529,2020,1,1,-6.2426,106.5661,176617.0,1.8244640365343145,1,26.929071803852892,7.204923000000001,5562.21459389664,1
tangerang,gunungkaler,68.245,139.488,28.97,8.194,Cropland,0.265,0.068,37.613,2020,1,0,-6.0957,106.3742,56160.0,2.014412592967001,1,7.6722846441947565,9.967445,6108.331520556884,1
tangerang,jambe,61.947,113.343,23.16,43.823,Tree cover,0.417,0.302,39.356,2020,1,1,-6.3238,106.4992,55650.0,1.800610037015267,1,33.65821812596006,16.411452,1241.5500970483904,1
tangerang,jayanti,68.243,140.441,27.07,18.626,Tree cover,0.316,0.144,37.613,2020,1,1,-6.2068,106.3983,70728.0,2.02823390089973,1,16.281468531468533,11.885708,3603.790889636197,1
tangerang,kelapadua,60.938,110.692,27.07,27.206,Built-up,0.178,0.146,38.338,2020,1,1,-6.2426,106.6094,167553.0,1.7871419806903677,1,23.73996509598604,6.824164,5940.331844288449,1
tangerang,kemiri,69.243,130.467,27.69,5.064,Cropland,0.286,0.09,37.613,2020,1,0,-6.0878,106.4638,61384.0,1.8573665703344109,1,4.645871559633028,10.757318,10122.69129287599,1
tangerang,kosambi,71.976,111.737,25.89,3.034,Built-up,0.181,0.058,37.386,2020,1,0,-6.0809,106.685,111705.0,1.5311472264854198,1,2.867674858223062,6.766866,27690.877540902333,1
tangerang,kresek,67.886,141.048,28.03,11.706,Cropland,0.264,0.093,37.613,2020,1,1,-6.1444,106.4044,71795.0,2.047556833028482,1,10.709972552607502,9.929832000000001,5650.480088147332,1
tangerang,kronjo,68.633,132.294,28.16,4.048,Cropland,0.306,0.069,37.613,2020,1,0,-6.0703,106.4282,65599.0,1.8998750592391542,1,3.7867165575304025,11.509578,12995.047543581617,1
tangerang,legok,60.979,107.886,22.42,43.009,Tree cover,0.352,0.179,40.893,2020,1,1,-6.3048,106.565,124324.0,1.7406863615095436,1,36.47921967769296,14.394336,2824.9676202594924,1
tangerang,mauk,68.675,119.976,29.38,3.228,Cropland,0.222,0.07,37.437,2020,1,0,-6.058,106.5207,91382.0,1.7219375672766417,1,3.0168224299065423,8.311014,21613.52885525071,1
tangerang,mekarbaru,67.515,131.205,29.23,4.93,Cropland,0.217,0.066,37.613,2020,1,0,-6.062,106.3871,44152.0,1.9149821207034958,1,4.624765478424014,8.162021,7445.531197301855,1
tangerang,pagedangan,59.04,101.01,27.07,39.721,Tree cover,0.292,0.198,40.815,2020,1,0,-6.2973,106.6175,111222.0,1.6823784143904066,1,33.15609348914858,11.917979999999998,2731.317993173056,1
tangerang,pakuhaji,71.044,116.503,27.85,3.922,Cropland,0.325,0.061,37.386,2020,1,1,-6.0602,106.6063,127330.0,1.6171089889511965,1,3.696512723845429,12.150450000000001,25869.5652173913,1
tangerang,panongan,62.447,117.775,26.07,36.953,Tree cover,0.295,0.192,40.396,2020,1,0,-6.2789,106.5262,129996.0,1.8562737402871687,1,31.0008389261745,11.91682,3425.1837799383447,1
tangerang,pasarkemis,66.088,125.859,27.07,14.061,Built-up,0.211,0.127,37.386,2020,1,1,-6.1589,106.5525,255345.0,1.8760284998807537,1,12.476486246672582,7.888446,16954.05351570281,1
tangerang,rajeg,68.517,131.345,27.07,8.659,Cropland,0.285,0.105,37.487,2020,1,0,-6.1163,106.5103,188209.0,1.8893939611893495,1,7.836199095022625,10.683795,19485.35045035718,1
tangerang,sepatan,66.904,123.707,27.07,8.849,Built-up,0.277,0.052,37.386,2020,1,0,-6.1183,106.5801,112289.0,1.8217925306314797,1,8.411596958174904,10.355922000000001,11401.055944765965,1
