kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk
bogor,babakanmadang,64.775,124.032,28.76,501.913,Tree cover,0.564,5.001,39.583,2020,1,1,-6.5917,106.902,121972.0
bogor,bojonggede,68.241,128.949,32.89,133.589,Built-up,0.429,0.293,40.414,2020,1,1,-6.4774,106.7927,266481.0
bogor,caringin,56.423,92.324,29.93,765.651,Tree cover,0.513,4.954,39.662,2020,1,0,-6.7366,106.866,138901.0
bogor,cariu,60.034,98.129,30.02,143.845,Tree cover,0.652,2.107,39.014,2020,1,0,-6.5273,107.1371,54478.0
bogor,ciampea,66.38,133.877,30.27,212.619,Tree cover,0.569,1.34,39.658,2020,1,0,-6.5742,106.698,175400.0
bogor,ciawi,60.033,102.824,30.31,925.94,Tree cover,0.465,6.501,39.604,2020,1,0,-6.7091,106.8937,117903.0
bogor,cibinong,64.197,120.134,32.59,134.037,Built-up,0.429,0.322,40.343,2020,1,1,-6.4839,106.8354,365387.0
bogor,cibungbulang,62.757,125.628,30.1,236.566,Tree cover,0.516,1.249,39.658,2020,1,0,-6.5761,106.661,152898.0
bogor,cigombong,53.486,84.206,27.78,688.475,Tree cover,0.576,4.624,39.674,2020,1,0,-6.7461,106.8128,101474.0
bogor,cigudeg,61.41,109.292,28.26,309.2,Tree cover,0.489,3.666,40.253,2020,1,1,-6.4937,106.5461,142405.0
bogor,cijeruk,58.342,100.324,28.41,717.352,Tree cover,0.568,7.732,39.583,2020,1,1,-6.686,106.7843,96355.0
bogor,cileungsi,64.843,99.566,28.16,69.866,Tree cover,0.502,0.251,39.17,2020,1,1,-6.4094,106.9962,273150.0
bogor,ciomas,62.066,119.463,29.31,268.719,Built-up,0.419,1.946,39.591,2020,1,0,-6.6095,106.762,161632.0
bogor,cisarua,63.041,110.997,28.23,1216.752,Tree cover,0.41,7.714,39.596,2020,1,1,-6.6985,106.9552,132320.0
bogor,ciseeng,67.344,120.53,28.55,99.044,Tree cover,0.588,0.396,40.875,2020,1,0,-6.4556,106.6785,121142.0
bogor,citeureup,63.408,118.419,29.78,229.087,Tree cover,0.563,2.772,39.829,2020,1,0,-6.525,106.8924,221710.0
bogor,dramaga,67.843,134.064,30.86,248.285,Tree cover,0.541,1.71,39.654,2020,1,0,-6.5888,106.7298,113555.0
bogor,gunungputri,61.733,98.643,36.48,81.462,Built-up,0.354,0.389,40.561,2020,1,1,-6.4052,106.9313,294195.0
bogor,gunungsindur,64.373,108.875,29.44,72.997,Tree cover,0.418,0.372,40.893,2020,1,0,-6.3871,106.6872,121333.0
bogor,jasinga,60.105,99.303,29.26,163.412,Tree cover,0.528,1.993,38.958,2020,1,1,-6.4806,106.4559,112356.0
bogor,jonggol,63.913,105.244,30.33,186.743,Tree cover,0.616,2.153,38.119,2020,1,0,-6.4961,107.0456,147880.0
bogor,klapanunggal,60.879,103.79,31.14,203.856,Tree cover,0.561,3.061,40.161,2020,1,0,-6.483,106.9553,129835.0
