kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,map_image,kecamatan_clean,kecamatan_key_banjir,kode_kec_spatial,nama_prop,nama_kab,nama_kec,jumlah_penduduk,kepadatan_penduduk,jumlah_kk,luas_wilayah,pertumbuhan_2022,pertumbuhan_2021,pertumbuhan_2020,perpindahan_pddk,jumlah_desa,jumlah_kelurahan,perdagangan,nelayan,wiraswasta,tidak_blm_sekolah,slta,s1,kecamatan_key_kecamatan
bogor,babakanmadang,64.775,124.032,28.76,501.913,Tree cover,0.564,5.001,39.583,2020,1,1,-6.5917,106.902,RGB_BabakanMadang2020.tif,babakanmadang,babakanmadang,320105.0,JAWA BARAT,BOGOR,BABAKAN MADANG,121972.0,40.1333254,38195.0,93.38,2.0,2.0,2.0,210.0,9.0,,22.0,,11748.0,32524.0,16867.0,3438.0,babakanmadang
bogor,bojonggede,68.241,128.949,32.89,133.589,Built-up,0.429,0.293,40.414,2020,1,1,-6.4774,106.7927,RGB_BabakanMadang2020.tif,bojonggede,bojonggede,320113.0,JAWA BARAT,BOGOR,BOJONG GEDE,266481.0,87.92965253,83319.0,29.67,1.0,1.0,2.0,722.0,8.0,1.0,108.0,4.0,21590.0,54965.0,88716.0,15481.0,bojonggede
bogor,caringin,56.423,92.324,29.93,765.651,Tree cover,0.513,4.954,39.662,2020,1,0,-6.7366,106.866,RGB_Caringin2020(2).tif,caringin,caringin,320127.0,JAWA BARAT,BOGOR,CARINGIN,138901.0,45.82458993,42356.0,79.21,2.0,2.0,2.0,256.0,12.0,,311.0,1.0,10623.0,27834.0,26898.0,2420.0,caringin
bogor,cariu,60.034,98.129,30.02,143.845,Tree cover,0.652,2.107,39.014,2020,1,0,-6.5273,107.1371,RGB_BabakanMadang2020.tif,cariu,cariu,320108.0,JAWA BARAT,BOGOR,CARIU,54478.0,18.09693099,19926.0,86.31,1.0,2.0,2.0,129.0,10.0,,47.0,,7789.0,9853.0,6110.0,839.0,cariu
bogor,ciampea,66.38,133.877,30.27,212.619,Tree cover,0.569,1.34,39.658,2020,1,0,-6.5742,106.698,RGB_Ciampea2020.tif,ciampea,ciampea,320115.0,JAWA BARAT,BOGOR,CIAMPEA,175400.0,58.08151541,55826.0,33.96,1.0,2.0,2.0,414.0,13.0,,124.0,3.0,13913.0,31738.0,35251.0,4126.0,ciampea
bogor,ciawi,60.033,102.824,30.31,925.94,Tree cover,0.465,6.501,39.604,2020,1,0,-6.7091,106.8937,RGB_Ciawi2020(1).tif,ciawi,ciawi,320124.0,JAWA BARAT,BOGOR,CIAWI,117903.0,39.14996367,36317.0,47.7,2.0,2.0,2.0,273.0,13.0,,350.0,2.0,7954.0,27523.0,23266.0,3197.0,ciawi
bogor,cibinong,64.197,120.134,32.59,134.037,Built-up,0.429,0.322,40.343,2020,1,1,-6.4839,106.8354,RGB_Cibinong2020(1).tif,cibinong,cibinong,320101.0,JAWA BARAT,BOGOR,CIBINONG,365387.0,121.24662993,115678.0,47.51,1.0,2.0,2.0,831.0,,13.0,183.0,1.0,26299.0,75399.0,114789.0,26033.0,cibinong
bogor,cibungbulang,62.757,125.628,30.1,236.566,Tree cover,0.516,1.249,39.658,2020,1,0,-6.5761,106.661,RGB_Cibungbulang2020.tif,cibungbulang,cibungbulang,320116.0,JAWA BARAT,BOGOR,CIBUNGBULANG,152898.0,50.50040478,47968.0,38.73,2.0,2.0,2.0,280.0,15.0,,97.0,,13762.0,42705.0,21847.0,2347.0,cibungbulang
bogor,cigombong,53.486,84.206,27.78,688.475,Tree cover,0.576,4.624,39.674,2020,1,0,-6.7461,106.8128,RGB_BabakanMadang2020.tif,cigombong,cigombong,320138.0,JAWA BARAT,BOGOR,CIGOMBONG,101474.0,33.64621305,31295.0,46.58,2.0,2.0,2.0,236.0,9.0,,58.0,1.0,5488.0,20501.0,18056.0,2223.0,cigombong
bogor,cigudeg,61.41,109.292,28.26,309.2,Tree cover,0.489,3.666,40.253,2020,1,1,-6.4937,106.5461,RGB_Cigudeg2020.tif,cigudeg,cigudeg,320122.0,JAWA BARAT,BOGOR,CIGUDEG,142405.0,47.02822201,44513.0,179.88,2.0,2.0,2.0,431.0,15.0,,116.0,2.0,9339.0,36590.0,12028.0,1026.0,cigudeg
bogor,cijeruk,58.342,100.324,28.41,717.352,Tree cover,0.568,7.732,39.583,2020,1,1,-6.686,106.7843,RGB_Cijeruk2020.tif,cijeruk,cijeruk,320128.0,JAWA BARAT,BOGOR,CIJERUK,96355.0,31.83692105,29161.0,47.46,2.0,2.0,2.0,188.0,9.0,,261.0,1.0,8415.0,26345.0,9509.0,1148.0,cijeruk
bogor,cileungsi,64.843,99.566,28.16,69.866,Tree cover,0.502,0.251,39.17,2020,1,1,-6.4094,106.9962,RGB_BabakanMadang2020.tif,cileungsi,cileungsi,320107.0,JAWA BARAT,BOGOR,CILEUNGSI,273150.0,90.42950379,88395.0,71.2,1.0,2.0,2.0,663.0,12.0,,76.0,4.0,23867.0,70049.0,75529.0,12311.0,cileungsi
bogor,ciomas,62.066,119.463,29.31,268.719,Built-up,0.419,1.946,39.591,2020,1,0,-6.6095,106.762,RGB_Ciomas2020.tif,ciomas,ciomas,320129.0,JAWA BARAT,BOGOR,CIOMAS,161632.0,53.66975758,51466.0,17.4,1.0,2.0,2.0,419.0,10.0,1.0,121.0,3.0,8404.0,28379.0,42123.0,11136.0,ciomas
bogor,cisarua,63.041,110.997,28.23,1216.752,Tree cover,0.41,7.714,39.596,2020,1,1,-6.6985,106.9552,RGB_Cisarua2020(1).tif,cisarua,cisarua,320125.0,JAWA BARAT,BOGOR,CISARUA,132320.0,43.70043499,41018.0,79.5,1.0,2.0,2.0,246.0,9.0,1.0,54.0,,20620.0,26951.0,28712.0,1954.0,cisarua
bogor,ciseeng,67.344,120.53,28.55,99.044,Tree cover,0.588,0.396,40.875,2020,1,0,-6.4556,106.6785,RGB_Ciseeng2020.tif,ciseeng,ciseeng,320133.0,JAWA BARAT,BOGOR,CISEENG,121142.0,39.96653495,38070.0,40.56,2.0,2.0,2.0,228.0,10.0,,599.0,7.0,12534.0,33636.0,13124.0,1448.0,ciseeng
bogor,citeureup,63.408,118.419,29.78,229.087,Tree cover,0.563,2.772,39.829,2020,1,0,-6.525,106.8924,RGB_Citeureup2020.tif,citeureup,citeureup,320103.0,JAWA BARAT,BOGOR,CITEUREUP,221710.0,73.62143849,69915.0,69.87,2.0,2.0,2.0,553.0,12.0,2.0,62.0,2.0,16131.0,46804.0,61843.0,5951.0,citeureup
