objectid,kode_kec_spatial,nama_prop,nama_kab,nama_kec,jumlah_penduduk,kepadatan_penduduk,jumlah_kk,luas_wilayah,pertumbuhan_2022,pertumbuhan_2021,pertumbuhan_2020,perpindahan_pddk,jumlah_desa,jumlah_kelurahan,perdagangan,nelayan,wiraswasta,tidak_blm_sekolah,slta,s1
,130515.0,SUMATERA BARAT,PADANG PARIAMAN,2 X 11 KAYU TANAM,29520.0,21.86675368,9193.0,208.72,1.0,1.0,1.0,156.0,4.0,,21.0,4.0,604.0,5320.0,7513.0,1068.0
,530518.0,NUSA TENGGARA TIMUR,ALOR,ABAD SELATAN,6615.0,2.20654595,1794.0,,1.0,1.0,1.0,18.0,7.0,,,50.0,19.0,1438.0,856.0,156.0
,510705.0,BALI,KARANGASEM,ABANG,88271.0,104.42300108,26610.0,134.7,1.0,2.0,2.0,103.0,14.0,,208.0,1428.0,5434.0,31935.0,9859.0,1444.0
,917103.0,PAPUA,KOTA JAYAPURA,ABEPURA,121955.0,146.15687528,40720.0,149.91,1.0,1.0,1.0,977.0,3.0,8.0,200.0,204.0,14618.0,26284.0,43019.0,11900.0
,510303.0,BALI,BADUNG,ABIANSEMAL,99364.0,248.13353764,27538.0,66.98,1.0,1.0,1.0,120.0,18.0,,741.0,1.0,10671.0,18210.0,32337.0,6979.0
,950208.0,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,ABOY,3271.0,0.24367515,1098.0,,0.0,0.0,0.0,4.0,7.0,,,,4.0,2967.0,43.0,8.0
,740210.0,SULAWESI TENGGARA,KONAWE,ABUKI,8510.0,1.57366056,2667.0,361.7,2.0,2.0,2.0,24.0,11.0,1.0,2.0,3.0,630.0,2329.0,1780.0,354.0
,960406.0,PAPUA BARAT DAYA,TAMBRAUW,ABUN,834.0,0.06524566,276.0,,1.0,1.0,2.0,1.0,5.0,,,1.0,18.0,337.0,130.0,21.0
,180306.0,LAMPUNG,LAMPUNG UTARA,ABUNG BARAT,21556.0,8.05266092,6588.0,83.25,1.0,2.0,2.0,80.0,14.0,,181.0,2.0,714.0,5567.0,4128.0,346.0
,180322.0,LAMPUNG,LAMPUNG UTARA,ABUNG KUNANG,10339.0,3.83920303,3294.0,63.93,1.0,2.0,2.0,36.0,7.0,,39.0,,403.0,2678.0,2207.0,145.0
,150903.0,JAMBI,TEBO,TEBO ULU,34539.0,5.66947757,11298.0,176.5,1.0,2.0,2.0,53.0,16.0,1.0,1.0,2.0,1451.0,10993.0,4178.0,903.0
,950603.0,PAPUA PEGUNUNGAN,YALIMO,ABENAHO,35160.0,11.17145069,9232.0,,0.0,0.0,0.0,69.0,108.0,,51.0,5.0,134.0,22439.0,3177.0,629.0
,180305.0,LAMPUNG,LAMPUNG UTARA,ABUNG TIMUR,39137.0,14.52326149,12845.0,140.98,1.0,2.0,2.0,101.0,12.0,,74.0,3.0,1620.0,10145.0,6110.0,530.0
,330103.0,JAWA TENGAH,CILACAP,ADIPALA,99324.0,42.40840715,32817.0,75.51,1.0,1.0,2.0,131.0,16.0,,629.0,194.0,5129.0,25324.0,15003.0,1891.0
,332811.0,JAWA TENGAH,TEGAL,ADIWERNA,140192.0,141.75105016,46035.0,27.11,1.0,2.0,2.0,379.0,21.0,,100.0,59.0,7743.0,25430.0,27835.0,4366.0
,122304.0,SUMATERA UTARA,LABUHANBATU UTARA,AEK KUO,34684.0,9.47120914,10028.0,300.32,1.0,1.0,1.0,945.0,8.0,,95.0,5.0,3161.0,10814.0,6516.0,626.0
,531118.0,NUSA TENGGARA TIMUR,SUMBA TIMUR,LEWA TIDAHU,7757.0,1.09707684,2045.0,333.01,1.0,2.0,2.0,5.0,6.0,,,1.0,57.0,1808.0,1218.0,241.0
,327803.0,JAWA BARAT,KOTA TASIKMALAYA,TAWANG,64517.0,350.08888816,22520.0,7.01,1.0,1.0,2.0,174.0,,5.0,237.0,1.0,5361.0,8785.0,19975.0,6321.0
,,,,,,,,,,,,,,,,,,,,
,110602.0,ACEH,ACEH BESAR,LHOKNGA,17932.0,6.18576596,5572.0,88.31,1.0,2.0,2.0,14.0,28.0,,18.0,106.0,1532.0,3324.0,6565.0,1113.0
,110804.0,ACEH,ACEH UTARA,LHOKSUKON,51599.0,19.00781997,15402.0,142.76,2.0,2.0,2.0,70.0,75.0,,75.0,51.0,4050.0,12928.0,12219.0,1650.0
,110601.0,ACEH,ACEH BESAR,LHOONG,10444.0,3.60231121,3291.0,150.41,2.0,2.0,2.0,3.0,28.0,,24.0,155.0,446.0,1735.0,2902.0,317.0
,352616.0,JAWA TIMUR,BANGKALAN,MODUNG,44190.0,33.90160104,14422.0,84.88,1.0,2.0,2.0,153.0,17.0,,158.0,22.0,10440.0,16237.0,2583.0,909.0
,950229.0,PAPUA PEGUNUNGAN,PEGUNUNGAN BINTANG,MOFINOP,1428.0,0.10471269,554.0,,0.0,0.0,0.0,6.0,5.0,,,,2.0,1140.0,21.0,1.0
,332701.0,JAWA TENGAH,PEMALANG,MOGA,79871.0,69.57103532,24736.0,43.9,1.0,2.0,2.0,168.0,10.0,,800.0,27.0,9521.0,18306.0,6744.0,1087.0
,720114.0,SULAWESI TENGAH,BANGGAI,MOILONG,19826.0,2.3995254,6658.0,142.13,1.0,2.0,2.0,59.0,16.0,,3.0,320.0,1998.0,3732.0,3791.0,641.0
,350602.0,JAWA TIMUR,KEDIRI,MOJO,82381.0,53.8146437,28419.0,143.19,1.0,1.0,1.0,101.0,20.0,,1505.0,4.0,9428.0,17023.0,10615.0,1809.0
,351706.0,JAWA TIMUR,JOMBANG,MOJOAGUNG,83844.0,75.11837345,28794.0,63.34,1.0,1.0,2.0,131.0,18.0,,3179.0,7.0,4799.0,13938.0,19521.0,3170.0
,337601.0,JAWA TENGAH,KOTA TEGAL,TEGAL BARAT,70228.0,1791.63147793,23659.0,12.25,1.0,2.0,2.0,424.0,,7.0,19.0,5122.0,4040.0,17052.0,16054.0,3898.0
,750315.0,GORONTALO,BONE BOLANGO,BULANGO SELATAN,11817.0,6.17046709,3795.0,5.63,2.0,2.0,2.0,9.0,10.0,,3.0,10.0,450.0,2096.0,2763.0,809.0
,120918.0,SUMATERA UTARA,ASAHAN,AEK KUASAN,26763.0,7.14906777,8479.0,149.78,1.0,1.0,2.0,147.0,6.0,1.0,37.0,1.0,4838.0,7240.0,5603.0,539.0
